"","voted_for","gender","education"
"3703","Biden","Female","High school graduate"
"3704","Trump","Female","Some college"
"3705","Biden","Male","Some college"
"3706","Trump","Female","Some college"
"3707","Biden","Female","High school graduate"
"3708","Trump","Female","Some college"
"3709","Trump","Female","2-year"
"3710","Biden","Male","High school graduate"
"3711","Trump","Female","High school graduate"
"3712","Biden","Female","Some college"
"3713","Biden","Female","Some college"
"3714","Biden","Male","2-year"
"3715","Trump","Female","Some college"
"3716","Trump","Female","Some college"
"3717","Biden","Female","2-year"
"3718","Trump","Female","High school graduate"
"3719","Trump","Female","Some college"
"3720","Biden","Male","2-year"
"3721","Biden","Female","High school graduate"
"3722","Biden","Female","Some college"
"3723","Biden","Female","Some college"
"3724","Biden","Female","High school graduate"
"3725","Trump","Female","Some college"
"3726","Biden","Male","Some college"
"3727","Trump","Male","High school graduate"
"3728","Trump","Female","Some college"
"3729","Biden","Female","Some college"
"3730","Biden","Female","Some college"
"3731","Biden","Male","Some college"
"3732","Trump","Male","High school graduate"
"3733","Trump","Male","High school graduate"
"3734","Trump","Male","High school graduate"
"3735","Biden","Male","High school graduate"
"3736","Trump","Female","Some college"
"3737","Trump","Female","2-year"
"3738","Trump","Male","2-year"
"3739","Biden","Male","High school graduate"
"3740","Biden","Female","High school graduate"
"3741","Trump","Male","Some college"
"3742","Trump","Female","2-year"
"3743","Biden","Male","Some college"
"3744","Biden","Female","High school graduate"
"3745","Biden","Male","High school graduate"
"3746","Biden","Female","Some college"
"3747","Biden","Male","Some college"
"3748","Trump","Female","2-year"
"3749","Biden","Male","High school graduate"
"3750","Trump","Male","High school graduate"
"3751","Trump","Female","High school graduate"
"3752","Biden","Female","2-year"
"3753","Biden","Female","High school graduate"
"3754","Biden","Female","Some college"
"3755","Biden","Female","2-year"
"3756","Biden","Female","Some college"
"3757","Biden","Female","2-year"
"3758","Biden","Male","2-year"
"3759","Trump","Female","High school graduate"
"3760","Trump","Male","Some college"
"3761","Trump","Male","High school graduate"
"3762","Trump","Female","High school graduate"
"3763","Trump","Male","Some college"
"3764","Biden","Female","High school graduate"
"3765","Trump","Female","High school graduate"
"3766","Biden","Male","High school graduate"
"3767","Biden","Female","High school graduate"
"3768","Biden","Female","Some college"
"3769","Trump","Male","High school graduate"
"3770","Biden","Male","High school graduate"
"3771","Trump","Male","2-year"
"3772","Biden","Female","High school graduate"
"3773","Biden","Female","Some college"
"3774","Biden","Female","2-year"
"3775","Trump","Male","Some college"
"3776","Trump","Male","High school graduate"
"3777","Trump","Male","High school graduate"
"3778","Biden","Male","High school graduate"
"3779","Trump","Male","High school graduate"
"3780","Biden","Male","Some college"
"3781","Trump","Female","Some college"
"3782","Biden","Male","High school graduate"
"3783","Trump","Female","2-year"
"3784","Biden","Female","High school graduate"
"3785","Biden","Male","High school graduate"
"3786","Biden","Female","Some college"
"3787","Trump","Female","High school graduate"
"3788","Biden","Female","2-year"
"3789","Trump","Male","Some college"
"3790","Biden","Male","Some college"
"3791","Biden","Female","2-year"
"3792","Trump","Male","High school graduate"
"3793","Biden","Female","Some college"
"3794","Biden","Female","2-year"
"3795","Trump","Male","High school graduate"
"3796","Biden","Female","High school graduate"
"3797","Biden","Male","Some college"
"3798","Biden","Male","High school graduate"
"3799","Trump","Male","Some college"
"3800","Biden","Female","Some college"
"3801","Biden","Female","Some college"
"3802","Biden","Female","High school graduate"
"3803","Biden","Female","Some college"
"3804","Trump","Male","Some college"
"3805","Trump","Female","2-year"
"3806","Biden","Male","Some college"
"3807","Biden","Female","2-year"
"3808","Trump","Male","High school graduate"
"3809","Biden","Male","High school graduate"
"3810","Trump","Male","High school graduate"
"3811","Biden","Male","Some college"
"3812","Biden","Female","Some college"
"3813","Biden","Male","Some college"
"3814","Biden","Female","High school graduate"
"3815","Trump","Male","High school graduate"
"3816","Trump","Female","High school graduate"
"3817","Biden","Female","2-year"
"3818","Trump","Male","High school graduate"
"3819","Trump","Female","High school graduate"
"3820","Biden","Female","2-year"
"3821","Biden","Male","High school graduate"
"3822","Biden","Female","Some college"
"3823","Trump","Male","High school graduate"
"3824","Biden","Male","Some college"
"3825","Trump","Male","Some college"
"3826","Biden","Male","No HS"
"3827","Biden","Male","High school graduate"
"3828","Trump","Male","High school graduate"
"3829","Trump","Male","Some college"
"3830","Biden","Female","High school graduate"
"3831","Biden","Female","Some college"
"3832","Trump","Female","High school graduate"
"3833","Trump","Male","High school graduate"
"3834","Trump","Male","Some college"
"3835","Trump","Male","2-year"
"3836","Biden","Female","No HS"
"3837","Trump","Male","2-year"
"3838","Biden","Female","Some college"
"3839","Trump","Female","High school graduate"
"3840","Trump","Male","High school graduate"
"3841","Biden","Female","Some college"
"3842","Biden","Female","Some college"
"3843","Trump","Female","High school graduate"
"3844","Biden","Male","Some college"
"3845","Biden","Male","Some college"
"3846","Trump","Male","2-year"
"3847","Biden","Female","2-year"
"3848","Biden","Female","2-year"
"3849","Trump","Female","Some college"
"3850","Trump","Male","Some college"
"3851","Biden","Male","High school graduate"
"3852","Biden","Female","2-year"
"3853","Biden","Female","Some college"
"3854","Trump","Male","No HS"
"3855","Trump","Female","High school graduate"
"3856","Biden","Male","2-year"
"3857","Biden","Female","Some college"
"3858","Biden","Female","Some college"
"3859","Trump","Female","High school graduate"
"3860","Biden","Male","High school graduate"
"3861","Trump","Male","High school graduate"
"3862","Biden","Male","2-year"
"3863","Biden","Female","2-year"
"3864","Trump","Male","Some college"
"3865","Biden","Male","High school graduate"
"3866","Biden","Female","High school graduate"
"3867","Biden","Male","High school graduate"
"3868","Biden","Male","High school graduate"
"3869","Biden","Male","No HS"
"3870","Biden","Male","High school graduate"
"3871","Trump","Male","High school graduate"
"3872","Trump","Male","High school graduate"
"3873","Biden","Male","High school graduate"
"3874","Trump","Male","Some college"
"3875","Biden","Male","Some college"
"3876","Biden","Male","2-year"
"3877","Biden","Male","Post-grad"
"3878","Biden","Female","Some college"
"3879","Trump","Female","Some college"
"3880","Biden","Male","Some college"
"3881","Biden","Female","Post-grad"
"3882","Biden","Male","2-year"
"3883","Biden","Female","4-year"
"3884","Biden","Female","Some college"
"3885","Trump","Female","High school graduate"
"3886","Biden","Male","4-year"
"3887","Biden","Female","High school graduate"
"3888","Trump","Male","Some college"
"3889","Trump","Male","4-year"
"3890","Biden","Male","Post-grad"
"3891","Biden","Male","Some college"
"3892","Biden","Female","Post-grad"
"3893","Biden","Male","4-year"
"3894","Biden","Female","4-year"
"3895","Trump","Male","High school graduate"
"3896","Trump","Female","Some college"
"3897","Biden","Female","High school graduate"
"3898","Trump","Female","Some college"
"3899","Trump","Female","2-year"
"3900","Trump","Female","Some college"
"3901","Trump","Male","High school graduate"
"3902","Biden","Female","4-year"
"3903","Biden","Male","4-year"
"3904","Trump","Male","High school graduate"
"3905","Biden","Male","Post-grad"
"3906","Biden","Female","4-year"
"3907","Trump","Female","2-year"
"3908","Trump","Male","Some college"
"3909","Biden","Male","Some college"
"3910","Trump","Male","Some college"
"3911","Biden","Female","2-year"
"3912","Biden","Male","Some college"
"3913","Biden","Male","Some college"
"3914","Trump","Male","High school graduate"
"3915","Trump","Male","Some college"
"3916","Trump","Male","Post-grad"
"3917","Trump","Female","4-year"
"3918","Biden","Male","Post-grad"
"3919","Trump","Female","Some college"
"3920","Biden","Female","2-year"
"3921","Biden","Male","High school graduate"
"3922","Trump","Male","Some college"
"3923","Biden","Female","Some college"
"3924","Biden","Female","Some college"
"3925","Biden","Female","2-year"
"3926","Trump","Female","Some college"
"3927","Trump","Female","2-year"
"3928","Biden","Male","2-year"
"3929","Biden","Female","Some college"
"3930","Biden","Female","Post-grad"
"3931","Trump","Male","High school graduate"
"3932","Biden","Male","Post-grad"
"3933","Trump","Male","4-year"
"3934","Biden","Male","2-year"
"3935","Trump","Female","Post-grad"
"3936","Biden","Male","High school graduate"
"3937","Biden","Male","Post-grad"
"3938","Biden","Female","Some college"
"3939","Biden","Female","4-year"
"3940","Biden","Female","4-year"
"3941","Biden","Female","4-year"
"3942","Trump","Female","Some college"
"3943","Biden","Male","Post-grad"
"3944","Biden","Female","Some college"
"3945","Biden","Male","Post-grad"
"3946","Biden","Female","Some college"
"3947","Biden","Male","4-year"
"3948","Biden","Male","4-year"
"3949","Biden","Female","4-year"
"3950","Trump","Female","Some college"
"3951","Trump","Female","2-year"
"3952","Biden","Male","4-year"
"3953","Trump","Male","2-year"
"3954","Biden","Male","Post-grad"
"3955","Trump","Male","2-year"
"3956","Biden","Female","2-year"
"3957","Trump","Female","High school graduate"
"3958","Trump","Male","2-year"
"3959","Biden","Female","2-year"
"3960","Trump","Female","Some college"
"3961","Trump","Male","Post-grad"
"3962","Trump","Female","Post-grad"
"3963","Biden","Male","4-year"
"3964","Biden","Male","Post-grad"
"3965","Biden","Male","Post-grad"
"3966","Biden","Female","High school graduate"
"3967","Trump","Female","Some college"
"3968","Biden","Male","4-year"
"3969","Biden","Female","Some college"
"3970","Biden","Female","4-year"
"3971","Biden","Female","Post-grad"
"3972","Trump","Female","High school graduate"
"3973","Biden","Female","High school graduate"
"3974","Trump","Female","High school graduate"
"3975","Biden","Female","Post-grad"
"3976","Trump","Male","4-year"
"3977","Trump","Male","2-year"
"3978","Trump","Female","2-year"
"3979","Trump","Female","2-year"
"3980","Trump","Female","Some college"
"3981","Biden","Male","4-year"
"3982","Biden","Female","Some college"
"3983","Trump","Male","High school graduate"
"3984","Trump","Female","High school graduate"
"3985","Biden","Female","Some college"
"3986","Trump","Female","4-year"
"3987","Trump","Male","4-year"
"3988","Biden","Female","Some college"
"3989","Trump","Male","2-year"
"3990","Biden","Male","High school graduate"
"3991","Biden","Male","Some college"
"3992","Biden","Female","4-year"
"3993","Biden","Female","Post-grad"
"3994","Biden","Female","Post-grad"
"3995","Trump","Female","Some college"
"3996","Trump","Female","2-year"
"3997","Biden","Female","2-year"
"3998","Biden","Male","Post-grad"
"3999","Biden","Female","Post-grad"
"4000","Trump","Female","4-year"
"4001","Trump","Female","4-year"
"4002","Trump","Male","Some college"
"4003","Trump","Male","4-year"
"4004","Biden","Male","Some college"
"4005","Trump","Female","Some college"
"4006","Biden","Male","2-year"
"4007","Trump","Female","High school graduate"
"4008","Biden","Male","4-year"
"4009","Trump","Female","4-year"
"4010","Biden","Female","4-year"
"4011","Biden","Female","4-year"
"4012","Trump","Male","Some college"
"4013","Trump","Female","Some college"
"4014","Trump","Female","Some college"
"4015","Biden","Female","Post-grad"
"4016","Trump","Male","4-year"
"4017","Trump","Male","4-year"
"4018","Trump","Female","Some college"
"4019","Biden","Male","Post-grad"
"4020","Trump","Male","4-year"
"4021","Biden","Female","Some college"
"4022","Trump","Female","4-year"
"4023","Biden","Female","Post-grad"
"4024","Biden","Female","Post-grad"
"4025","Biden","Male","4-year"
"4026","Trump","Male","High school graduate"
"4027","Trump","Male","4-year"
"4028","Biden","Female","Post-grad"
"4029","Trump","Male","4-year"
"4030","Biden","Male","4-year"
"4031","Biden","Female","4-year"
"4032","Biden","Female","2-year"
"4033","Biden","Female","Post-grad"
"4034","Trump","Female","Post-grad"
"4035","Biden","Female","4-year"
"4036","Biden","Male","Post-grad"
"4037","Biden","Male","Post-grad"
"4038","Trump","Male","2-year"
"4039","Trump","Male","Post-grad"
"4040","Trump","Male","2-year"
"4041","Trump","Male","2-year"
"4042","Biden","Male","Some college"
"4043","Biden","Female","High school graduate"
"4044","Biden","Female","Post-grad"
"4045","Biden","Male","Post-grad"
"4046","Trump","Female","Some college"
"4047","Biden","Female","4-year"
"4048","Biden","Female","4-year"
"4049","Biden","Male","Some college"
"4050","Trump","Female","High school graduate"
"4051","Biden","Male","Post-grad"
"4052","Biden","Male","4-year"
"4053","Biden","Female","Some college"
"4054","Biden","Male","Post-grad"
"4055","Biden","Female","High school graduate"
"4056","Trump","Male","2-year"
"4057","Biden","Female","4-year"
"4058","Trump","Female","No HS"
"4059","Biden","Female","Some college"
"4060","Biden","Female","2-year"
"4061","Trump","Male","Some college"
"4062","Biden","Male","High school graduate"
"4063","Trump","Male","Post-grad"
"4064","Trump","Male","2-year"
"4065","Trump","Female","Some college"
"4066","Biden","Male","2-year"
"4067","Biden","Male","2-year"
"4068","Trump","Female","2-year"
"4069","Biden","Female","Some college"
"4070","Trump","Male","Post-grad"
"4071","Biden","Female","Post-grad"
"4072","Biden","Male","Some college"
"4073","Biden","Female","Post-grad"
"4074","Biden","Male","4-year"
"4075","Trump","Male","4-year"
"4076","Biden","Male","Post-grad"
"4077","Trump","Female","High school graduate"
"4078","Biden","Female","2-year"
"4079","Biden","Female","4-year"
"4080","Biden","Female","Post-grad"
"4081","Trump","Male","Post-grad"
"4082","Trump","Female","High school graduate"
"4083","Trump","Male","Some college"
"4084","Biden","Female","Some college"
"4085","Biden","Female","Post-grad"
"4086","Trump","Male","2-year"
"4087","Trump","Male","4-year"
"4088","Biden","Female","Some college"
"4089","Trump","Male","4-year"
"4090","Trump","Male","4-year"
"4091","Trump","Male","Post-grad"
"4092","Biden","Male","Some college"
"4093","Trump","Male","4-year"
"4094","Biden","Male","4-year"
"4095","Biden","Female","Some college"
"4096","Trump","Female","2-year"
"4097","Trump","Male","4-year"
"4098","Trump","Female","2-year"
"4099","Trump","Female","2-year"
"4100","Trump","Female","High school graduate"
"4101","Biden","Female","4-year"
"4102","Biden","Female","4-year"
"4103","Trump","Male","Some college"
"4104","Biden","Female","Some college"
"4105","Trump","Male","4-year"
"4106","Biden","Female","Post-grad"
"4107","Biden","Female","2-year"
"4108","Biden","Male","4-year"
"4109","Biden","Female","Post-grad"
"4110","Biden","Male","2-year"
"4111","Trump","Female","4-year"
"4112","Biden","Male","4-year"
"4113","Biden","Male","4-year"
"4114","Biden","Male","4-year"
"4115","Biden","Female","Post-grad"
"4116","Trump","Female","High school graduate"
"4117","Biden","Male","High school graduate"
"4118","Biden","Female","Some college"
"4119","Trump","Male","Some college"
"4120","Trump","Female","2-year"
"4121","Trump","Male","4-year"
"4122","Biden","Male","Some college"
"4123","Biden","Female","Some college"
"4124","Trump","Male","4-year"
"4125","Trump","Male","2-year"
"4126","Trump","Male","High school graduate"
"4127","Biden","Female","High school graduate"
"4128","Biden","Female","Some college"
"4129","Biden","Female","2-year"
"4130","Biden","Female","Some college"
"4131","Trump","Female","High school graduate"
"4132","Biden","Female","High school graduate"
"4133","Biden","Female","4-year"
"4134","Biden","Male","4-year"
"4135","Biden","Female","High school graduate"
"4136","Biden","Female","No HS"
"4137","Biden","Female","4-year"
"4138","Trump","Female","2-year"
"4139","Trump","Male","Post-grad"
"4140","Biden","Female","Post-grad"
"4141","Biden","Male","Post-grad"
"4142","Trump","Male","2-year"
"4143","Biden","Female","2-year"
"4144","Biden","Male","Post-grad"
"4145","Biden","Male","4-year"
"4146","Trump","Female","2-year"
"4147","Trump","Female","2-year"
"4148","Biden","Male","4-year"
"4149","Biden","Male","Post-grad"
"4150","Trump","Male","Some college"
"4151","Trump","Male","Post-grad"
"4152","Biden","Female","2-year"
"4153","Trump","Male","4-year"
"4154","Trump","Female","High school graduate"
"4155","Biden","Female","4-year"
"4156","Biden","Male","Post-grad"
"4157","Biden","Female","Some college"
"4158","Trump","Male","Some college"
"4159","Trump","Male","Post-grad"
"4160","Trump","Female","High school graduate"
"4161","Biden","Female","Post-grad"
"4162","Trump","Female","4-year"
"4163","Biden","Female","4-year"
"4164","Trump","Female","2-year"
"4165","Trump","Female","2-year"
"4166","Biden","Male","Post-grad"
"4167","Biden","Male","4-year"
"4168","Biden","Female","Some college"
"4169","Biden","Male","Some college"
"4170","Trump","Male","Post-grad"
"4171","Biden","Male","Some college"
"4172","Biden","Male","4-year"
"4173","Trump","Male","Post-grad"
"4174","Biden","Male","Post-grad"
"4175","Trump","Male","Post-grad"
"4176","Biden","Male","Some college"
"4177","Biden","Female","Post-grad"
"4178","Trump","Female","4-year"
"4179","Trump","Male","4-year"
"4180","Trump","Male","4-year"
"4181","Biden","Male","Some college"
"4182","Trump","Female","4-year"
"4183","Biden","Male","2-year"
"4184","Trump","Female","4-year"
"4185","Trump","Male","High school graduate"
"4186","Biden","Female","Some college"
"4187","Biden","Female","4-year"
"4188","Biden","Female","High school graduate"
"4189","Biden","Female","Post-grad"
"4190","Biden","Female","Some college"
"4191","Trump","Female","Post-grad"
"4192","Trump","Male","2-year"
"4193","Biden","Female","Some college"
"4194","Biden","Female","Some college"
"4195","Biden","Female","Post-grad"
"4196","Trump","Female","High school graduate"
"4197","Biden","Male","High school graduate"
"4198","Biden","Female","Post-grad"
"4199","Biden","Male","Some college"
"4200","Biden","Male","Some college"
"4201","Biden","Female","4-year"
"4202","Trump","Male","High school graduate"
"4203","Biden","Female","4-year"
"4204","Trump","Male","Some college"
"4205","Biden","Female","Post-grad"
"4206","Biden","Female","4-year"
"4207","Trump","Male","2-year"
"4208","Biden","Male","Post-grad"
"4209","Trump","Male","Some college"
"4210","Biden","Female","Post-grad"
"4211","Biden","Male","Post-grad"
"4212","Trump","Female","Post-grad"
"4213","Biden","Male","4-year"
"4214","Trump","Male","Post-grad"
"4215","Trump","Female","4-year"
"4216","Biden","Male","4-year"
"4217","Biden","Female","4-year"
"4218","Biden","Male","Post-grad"
"4219","Biden","Female","Post-grad"
"4220","Trump","Female","4-year"
"4221","Trump","Male","2-year"
"4222","Biden","Female","Post-grad"
"4223","Biden","Female","Some college"
"4224","Biden","Female","4-year"
"4225","Trump","Female","Post-grad"
"4226","Trump","Male","4-year"
"4227","Trump","Female","Some college"
"4228","Trump","Female","Post-grad"
"4229","Biden","Male","Post-grad"
"4230","Biden","Female","4-year"
"4231","Trump","Male","Post-grad"
"4232","Biden","Male","4-year"
"4233","Trump","Male","4-year"
"4234","Biden","Female","Post-grad"
"4235","Biden","Female","2-year"
"4236","Trump","Male","4-year"
"4237","Trump","Male","2-year"
"4238","Trump","Male","2-year"
"4239","Trump","Male","4-year"
"4240","Biden","Male","Post-grad"
"4241","Biden","Female","4-year"
"4242","Biden","Female","High school graduate"
"4243","Trump","Male","Post-grad"
"4244","Trump","Female","Post-grad"
"4245","Trump","Female","2-year"
"4246","Trump","Male","2-year"
"4247","Trump","Male","4-year"
"4248","Biden","Female","Post-grad"
"4249","Biden","Male","4-year"
"4250","Biden","Female","High school graduate"
"4251","Trump","Female","4-year"
"4252","Trump","Male","Post-grad"
"4253","Biden","Female","Post-grad"
"4254","Trump","Female","4-year"
"4255","Trump","Male","Some college"
"4256","Trump","Male","Some college"
"4257","Trump","Male","Some college"
"4258","Trump","Male","4-year"
"4259","Trump","Male","Post-grad"
"4260","Biden","Female","4-year"
"4261","Trump","Male","High school graduate"
"4262","Trump","Male","2-year"
"4263","Biden","Male","Post-grad"
"4264","Biden","Male","Some college"
"4265","Trump","Male","2-year"
"4266","Trump","Male","2-year"
"4267","Trump","Male","Post-grad"
"4268","Biden","Female","4-year"
"4269","Biden","Male","Some college"
"4270","Biden","Male","2-year"
"4271","Biden","Male","Post-grad"
"4272","Trump","Female","2-year"
"4273","Trump","Female","Some college"
"4274","Biden","Male","High school graduate"
"4275","Biden","Female","2-year"
"4276","Trump","Female","Post-grad"
"4277","Biden","Female","Post-grad"
"4278","Biden","Female","High school graduate"
"4279","Biden","Female","Post-grad"
"4280","Biden","Male","Post-grad"
"4281","Trump","Male","Post-grad"
"4282","Biden","Male","2-year"
"4283","Biden","Male","4-year"
"4284","Trump","Male","2-year"
"4285","Biden","Female","4-year"
"4286","Biden","Female","Post-grad"
"4287","Trump","Male","4-year"
"4288","Biden","Female","Post-grad"
"4289","Trump","Male","Some college"
"4290","Trump","Female","Some college"
"4291","Trump","Male","2-year"
"4292","Trump","Male","Some college"
"4293","Biden","Female","2-year"
"4294","Trump","Female","High school graduate"
"4295","Trump","Male","High school graduate"
"4296","Trump","Male","2-year"
"4297","Trump","Male","2-year"
"4298","Biden","Female","Post-grad"
"4299","Trump","Female","Some college"
"4300","Biden","Female","4-year"
"4301","Biden","Male","Some college"
"4302","Biden","Male","4-year"
"4303","Biden","Female","4-year"
"4304","Biden","Male","4-year"
"4305","Biden","Male","Some college"
"4306","Trump","Male","Post-grad"
"4307","Biden","Female","Post-grad"
"4308","Biden","Male","4-year"
"4309","Trump","Male","Post-grad"
"4310","Biden","Female","Post-grad"
"4311","Trump","Female","High school graduate"
"4312","Trump","Male","Post-grad"
"4313","Biden","Female","Post-grad"
"4314","Biden","Female","Some college"
"4315","Biden","Male","Post-grad"
"4316","Biden","Female","4-year"
"4317","Biden","Female","Post-grad"
"4318","Trump","Female","Some college"
"4319","Biden","Female","Some college"
"4320","Trump","Male","Post-grad"
"4321","Trump","Female","2-year"
"4322","Trump","Female","Some college"
"4323","Trump","Male","4-year"
"4324","Trump","Male","Post-grad"
"4325","Biden","Female","4-year"
"4326","Biden","Female","4-year"
"4327","Biden","Female","Some college"
"4328","Biden","Female","Post-grad"
"4329","Biden","Female","4-year"
"4330","Biden","Female","Post-grad"
"4331","Trump","Female","2-year"
"4332","Trump","Female","Some college"
"4333","Trump","Female","Some college"
"4334","Biden","Female","4-year"
"4335","Biden","Female","Some college"
"4336","Trump","Female","High school graduate"
"4337","Trump","Female","2-year"
"4338","Trump","Male","2-year"
"4339","Trump","Female","Post-grad"
"4340","Biden","Male","4-year"
"4341","Trump","Male","2-year"
"4342","Biden","Female","Post-grad"
"4343","Trump","Female","High school graduate"
"4344","Trump","Female","High school graduate"
"4345","Trump","Male","Some college"
"4346","Trump","Male","Some college"
"4347","Biden","Female","Some college"
"4348","Trump","Female","Some college"
"4349","Trump","Male","2-year"
"4350","Biden","Female","High school graduate"
"4351","Biden","Female","Some college"
"4352","Biden","Female","2-year"
"4353","Trump","Male","4-year"
"4354","Trump","Female","4-year"
"4355","Trump","Male","Some college"
"4356","Trump","Male","4-year"
"4357","Trump","Female","High school graduate"
"4358","Biden","Female","Some college"
"4359","Biden","Female","4-year"
"4360","Biden","Female","2-year"
"4361","Trump","Male","Some college"
"4362","Trump","Male","4-year"
"4363","Biden","Female","Post-grad"
"4364","Biden","Male","Some college"
"4365","Trump","Female","Some college"
"4366","Biden","Male","4-year"
"4367","Biden","Male","Post-grad"
"4368","Trump","Male","Some college"
"4369","Biden","Male","4-year"
"4370","Trump","Female","High school graduate"
"4371","Biden","Female","Post-grad"
"4372","Trump","Male","High school graduate"
"4373","Trump","Female","Some college"
"4374","Trump","Female","High school graduate"
"4375","Biden","Male","4-year"
"4376","Biden","Female","4-year"
"4377","Biden","Female","High school graduate"
"4378","Biden","Female","Post-grad"
"4379","Biden","Male","2-year"
"4380","Biden","Male","2-year"
"4381","Trump","Male","2-year"
"4382","Biden","Female","Some college"
"4383","Trump","Female","High school graduate"
"4384","Trump","Female","High school graduate"
"4385","Biden","Male","Post-grad"
"4386","Trump","Female","Some college"
"4387","Trump","Female","2-year"
"4388","Trump","Male","Some college"
"4389","Biden","Female","Post-grad"
"4390","Biden","Male","Some college"
"4391","Trump","Female","Post-grad"
"4392","Biden","Male","Post-grad"
"4393","Trump","Male","4-year"
"4394","Biden","Male","2-year"
"4395","Trump","Female","Post-grad"
"4396","Trump","Male","2-year"
"4397","Trump","Female","Some college"
"4398","Biden","Female","4-year"
"4399","Trump","Female","Some college"
"4400","Biden","Female","Some college"
"4401","Biden","Male","4-year"
"4402","Trump","Male","4-year"
"4403","Biden","Male","Some college"
"4404","Trump","Female","4-year"
"4405","Biden","Female","High school graduate"
"4406","Trump","Male","Post-grad"
"4407","Biden","Female","4-year"
"4408","Biden","Male","Post-grad"
"4409","Trump","Female","Some college"
"4410","Biden","Male","High school graduate"
"4411","Trump","Male","4-year"
"4412","Trump","Male","High school graduate"
"4413","Biden","Female","Some college"
"4414","Biden","Female","High school graduate"
"4415","Trump","Male","High school graduate"
"4416","Biden","Female","No HS"
"4417","Biden","Female","Some college"
"4418","Trump","Male","Post-grad"
"4419","Biden","Male","Some college"
"4420","Biden","Female","4-year"
"4421","Biden","Male","Some college"
"4422","Trump","Female","Some college"
"4423","Biden","Female","2-year"
"4424","Trump","Female","4-year"
"4425","Biden","Female","Some college"
"4426","Biden","Female","4-year"
"4427","Biden","Female","Post-grad"
"4428","Biden","Female","4-year"
"4429","Trump","Female","2-year"
"4430","Biden","Female","4-year"
"4431","Trump","Male","2-year"
"4432","Trump","Male","High school graduate"
"4433","Biden","Female","Post-grad"
"4434","Trump","Female","4-year"
"4435","Biden","Male","Post-grad"
"4436","Trump","Female","Post-grad"
"4437","Biden","Female","2-year"
"4438","Biden","Female","Post-grad"
"4439","Biden","Female","Post-grad"
"4440","Biden","Male","Post-grad"
"4441","Biden","Male","4-year"
"4442","Biden","Male","4-year"
"4443","Biden","Male","Some college"
"4444","Biden","Female","4-year"
"4445","Trump","Male","Some college"
"4446","Biden","Male","2-year"
"4447","Trump","Male","4-year"
"4448","Biden","Male","2-year"
"4449","Biden","Male","Some college"
"4450","Biden","Female","Some college"
"4451","Biden","Female","Post-grad"
"4452","Biden","Female","Post-grad"
"4453","Trump","Male","Post-grad"
"4454","Biden","Male","Some college"
"4455","Biden","Male","4-year"
"4456","Biden","Female","Some college"
"4457","Trump","Male","Some college"
"4458","Biden","Male","Post-grad"
"4459","Trump","Male","Post-grad"
"4460","Biden","Male","4-year"
"4461","Trump","Female","4-year"
"4462","Biden","Female","Post-grad"
"4463","Biden","Male","2-year"
"4464","Trump","Male","High school graduate"
"4465","Biden","Female","Some college"
"4466","Biden","Male","2-year"
"4467","Trump","Female","Some college"
"4468","Biden","Female","2-year"
"4469","Biden","Female","Some college"
"4470","Biden","Female","4-year"
"4471","Biden","Female","Some college"
"4472","Biden","Male","Post-grad"
"4473","Trump","Female","Some college"
"4474","Trump","Female","High school graduate"
"4475","Trump","Male","Some college"
"4476","Biden","Male","4-year"
"4477","Biden","Male","2-year"
"4478","Trump","Male","High school graduate"
"4479","Trump","Female","High school graduate"
"4480","Trump","Male","Some college"
"4481","Biden","Female","Post-grad"
"4482","Biden","Male","4-year"
"4483","Trump","Female","4-year"
"4484","Trump","Male","High school graduate"
"4485","Trump","Male","High school graduate"
"4486","Biden","Female","2-year"
"4487","Trump","Female","Some college"
"4488","Trump","Male","Some college"
"4489","Biden","Female","4-year"
"4490","Biden","Female","Some college"
"4491","Biden","Female","4-year"
"4492","Biden","Male","Some college"
"4493","Trump","Female","Some college"
"4494","Biden","Female","High school graduate"
"4495","Biden","Male","2-year"
"4496","Biden","Female","4-year"
"4497","Biden","Female","High school graduate"
"4498","Biden","Male","4-year"
"4499","Biden","Female","2-year"
"4500","Biden","Male","Some college"
"4501","Trump","Female","Some college"
"4502","Trump","Female","Some college"
"4503","Trump","Female","Some college"
"4504","Trump","Female","2-year"
"4505","Biden","Male","High school graduate"
"4506","Trump","Male","Some college"
"4507","Biden","Male","Post-grad"
"4508","Biden","Female","Post-grad"
"4509","Trump","Female","4-year"
"4510","Biden","Male","4-year"
"4511","Biden","Female","2-year"
"4512","Biden","Male","4-year"
"4513","Trump","Male","Some college"
"4514","Trump","Female","2-year"
"4515","Biden","Female","High school graduate"
"4516","Trump","Male","4-year"
"4517","Trump","Female","High school graduate"
"4518","Biden","Male","Post-grad"
"4519","Trump","Male","Some college"
"4520","Biden","Female","4-year"
"4521","Biden","Male","Post-grad"
"4522","Biden","Female","2-year"
"4523","Trump","Female","2-year"
"4524","Trump","Male","4-year"
"4525","Trump","Male","4-year"
"4526","Trump","Female","Post-grad"
"4527","Biden","Female","2-year"
"4528","Biden","Male","4-year"
"4529","Biden","Female","2-year"
"4530","Biden","Female","2-year"
"4531","Trump","Female","Some college"
"4532","Biden","Female","Post-grad"
"4533","Biden","Male","High school graduate"
"4534","Trump","Male","High school graduate"
"4535","Trump","Female","High school graduate"
"4536","Trump","Male","4-year"
"4537","Biden","Female","4-year"
"4538","Trump","Male","4-year"
