"","voted_for","gender","education"
"203","Trump","Male","4-year"
"204","Biden","Female","Post-grad"
"205","Biden","Male","4-year"
"206","Biden","Male","2-year"
"207","Trump","Female","Post-grad"
"208","Trump","Male","4-year"
"209","Biden","Female","Some college"
"210","Trump","Male","2-year"
"211","Biden","Male","Post-grad"
"212","Biden","Female","4-year"
"213","Trump","Female","Post-grad"
"214","Trump","Female","4-year"
"215","Trump","Male","Some college"
"216","Biden","Female","4-year"
"217","Biden","Male","2-year"
"218","Trump","Male","4-year"
"219","Biden","Female","2-year"
"220","Biden","Male","Some college"
"221","Trump","Male","Some college"
"222","Biden","Female","4-year"
"223","Biden","Male","4-year"
"224","Biden","Male","4-year"
"225","Trump","Male","4-year"
"226","Trump","Female","Post-grad"
"227","Biden","Female","4-year"
"228","Biden","Female","Some college"
"229","Trump","Female","Some college"
"230","Trump","Male","4-year"
"231","Trump","Male","4-year"
"232","Trump","Female","Post-grad"
"233","Biden","Female","4-year"
"234","Biden","Male","Post-grad"
"235","Trump","Male","4-year"
"236","Trump","Female","2-year"
"237","Trump","Male","Post-grad"
"238","Trump","Male","2-year"
"239","Biden","Female","4-year"
"240","Trump","Female","2-year"
"241","Biden","Male","2-year"
"242","Biden","Female","2-year"
"243","Trump","Male","4-year"
"244","Trump","Male","4-year"
"245","Trump","Male","2-year"
"246","Trump","Female","4-year"
"247","Biden","Male","4-year"
"248","Trump","Female","4-year"
"249","Trump","Male","Some college"
"250","Biden","Female","Some college"
"251","Biden","Female","Post-grad"
"252","Biden","Female","4-year"
"253","Trump","Male","Some college"
"254","Biden","Male","Post-grad"
"255","Biden","Male","Post-grad"
"256","Biden","Female","Post-grad"
"257","Biden","Female","Some college"
"258","Trump","Male","Some college"
"259","Biden","Female","Post-grad"
"260","Biden","Female","4-year"
"261","Biden","Female","Post-grad"
"262","Biden","Female","4-year"
"263","Trump","Male","Some college"
"264","Biden","Male","Post-grad"
"265","Biden","Female","Post-grad"
"266","Trump","Male","4-year"
"267","Trump","Female","Some college"
"268","Biden","Female","4-year"
"269","Biden","Female","Post-grad"
"270","Biden","Female","4-year"
"271","Biden","Male","Post-grad"
"272","Trump","Female","4-year"
"273","Biden","Female","Post-grad"
"274","Biden","Male","Post-grad"
"275","Biden","Male","Post-grad"
"276","Trump","Male","4-year"
"277","Biden","Female","Post-grad"
"278","Biden","Female","Some college"
"279","Biden","Female","4-year"
"280","Trump","Male","4-year"
"281","Biden","Female","Post-grad"
"282","Trump","Male","Post-grad"
"283","Trump","Male","2-year"
"284","Trump","Female","2-year"
"285","Biden","Male","Some college"
"286","Biden","Male","2-year"
"287","Trump","Male","2-year"
"288","Trump","Female","Post-grad"
"289","Trump","Female","4-year"
"290","Trump","Male","4-year"
"291","Trump","Male","Some college"
"292","Biden","Female","Post-grad"
"293","Biden","Female","Some college"
"294","Biden","Female","Some college"
"295","Biden","Male","4-year"
"296","Biden","Female","Post-grad"
"297","Biden","Male","Post-grad"
"298","Trump","Male","4-year"
"299","Biden","Male","4-year"
"300","Trump","Female","Post-grad"
"301","Biden","Female","2-year"
"302","Biden","Female","Some college"
"303","Biden","Male","Post-grad"
"304","Biden","Female","4-year"
"305","Trump","Female","Post-grad"
"306","Biden","Female","Post-grad"
"307","Biden","Male","Post-grad"
"308","Trump","Male","4-year"
"309","Biden","Female","4-year"
"310","Trump","Female","Some college"
"311","Trump","Male","4-year"
"312","Trump","Female","Some college"
"313","Biden","Female","Some college"
"314","Biden","Male","Some college"
"315","Biden","Male","Post-grad"
"316","Trump","Male","Some college"
"317","Trump","Female","2-year"
"318","Trump","Male","4-year"
"319","Biden","Female","Post-grad"
"320","Trump","Female","Some college"
"321","Biden","Female","Post-grad"
"322","Biden","Female","4-year"
"323","Biden","Male","Post-grad"
"324","Trump","Female","Some college"
"325","Trump","Male","2-year"
"326","Trump","Male","4-year"
"327","Biden","Male","Post-grad"
"328","Biden","Male","Some college"
"329","Trump","Male","4-year"
"330","Biden","Female","Some college"
"331","Biden","Female","Post-grad"
"332","Biden","Male","Post-grad"
"333","Biden","Male","Post-grad"
"334","Biden","Female","4-year"
"335","Biden","Female","Post-grad"
"336","Biden","Male","Some college"
"337","Biden","Female","4-year"
"338","Biden","Male","Post-grad"
"339","Trump","Female","2-year"
"340","Trump","Female","2-year"
"341","Trump","Male","Post-grad"
"342","Biden","Female","4-year"
"343","Trump","Male","Post-grad"
"344","Biden","Male","Post-grad"
"345","Trump","Female","Post-grad"
"346","Biden","Female","Post-grad"
"347","Trump","Female","2-year"
"348","Trump","Female","4-year"
"349","Trump","Female","Some college"
"350","Biden","Female","Post-grad"
"351","Trump","Male","Post-grad"
"352","Biden","Female","Some college"
"353","Biden","Female","4-year"
"354","Biden","Female","4-year"
"355","Biden","Female","4-year"
"356","Biden","Male","Post-grad"
"357","Trump","Male","4-year"
"358","Biden","Male","Some college"
"359","Biden","Female","Post-grad"
"360","Trump","Male","Some college"
"361","Biden","Female","Some college"
"362","Trump","Female","High school graduate"
"363","Trump","Female","2-year"
"364","Biden","Female","2-year"
"365","Trump","Male","Post-grad"
"366","Biden","Female","4-year"
"367","Biden","Female","4-year"
"368","Trump","Female","Some college"
"369","Trump","Female","2-year"
"370","Biden","Female","4-year"
"371","Biden","Male","Some college"
"372","Biden","Male","Post-grad"
"373","Biden","Female","Some college"
"374","Biden","Female","4-year"
"375","Biden","Female","Post-grad"
"376","Trump","Male","4-year"
"377","Biden","Male","4-year"
"378","Biden","Female","4-year"
"379","Biden","Female","4-year"
"380","Biden","Female","Post-grad"
"381","Trump","Female","4-year"
"382","Biden","Female","2-year"
"383","Trump","Male","High school graduate"
"384","Trump","Male","Post-grad"
"385","Trump","Male","2-year"
"386","Biden","Female","Some college"
"387","Biden","Male","4-year"
